ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
12061749 8391097 178 499110 0 10999999 0 0 54280275
12094956 8391075 178 519238 0 10999972 0 0 54280141
11779152 8390746 178 539367 0 10999896 0 0 54279764
11183114 8390365 178 559498 0 10999774 0 0 54279158
10758551 8390244 178 579625 0 10999604 0 0 54278313
10707618 8390248 178 599753 0 10999387 0 0 54277235
10879108 8390383 178 619885 0 10999123 0 0 54275923
12009833 8391494 178 640016 0 10998812 0 0 54274378
14799265 8394622 178 660141 0 10998453 0 0 54272595
16777215 8399884 178 680271 0 10998048 0 0 54270583
16777215 8405899 178 700400 0 10997595 0 0 -11943
16777215 8411652 178 720528 0 10997095 0 0 -14293
16777215 8413600 178 740657 0 10996548 0 0 -16633
16777215 8409184 178 760786 0 10995954 0 0 -18978
16777215 8404476 178 780916 0 10995312 0 0 -21322
16777215 8402243 178 801044 4 10994624 0 0 -23662
16777215 8400289 178 821173 4 10993888 0 0 -26007
15908997 8397998 178 841302 4 10993105 0 0 -28352
14554962 8396477 178 861431 4 10992275 0 0 -30692
13809109 8395912 178 881561 4 10991398 0 0 -33037
13573931 8395440 178 901690 4 10990473 0 0 -35382
12647843 8394027 178 921818 4 10989512 0 0 -37672
12009658 8393418 178 941947 4 10988537 0 0 -39798
11793995 8393272 178 962076 0 10987551 0 0 -41746
11755272 8393191 178 982205 0 10986552 0 0 -43519
11503186 8392785 179 2334 0 10985543 0 0 -45114
11341482 8392505 179 22463 0 10984521 0 0 -46535
10919427 8391742 179 42592 0 10983487 0 0 -47782
10702443 8391499 179 62724 0 10982442 0 0 -48849
10616549 8391387 179 82853 0 10981385 0 0 -49744
10665203 8391499 179 102981 0 10980316 0 0 -50459
10822941 8392002 179 123112 4 10979235 0 0 -51055
11290519 8392725 179 143241 0 10978143 0 0 -51636
11713748 8393328 179 163370 0 10977039 0 0 -52222
11987979 8393653 179 183499 0 10975923 0 0 -52803
12179153 8394147 179 203628 0 10974795 0 0 -53395
12761257 8395003 179 223754 0 10973655 0 0 -53982
13643601 8396184 179 243887 0 10972504 0 0 -54562
15084475 8398082 179 264015 0 10971340 0 0 -55154
16777215 8407031 179 284143 0 10970165 0 0 -55740
16777215 8399843 179 304270 0 10968979 0 0 -56322
16777215 8401875 179 324399 0 10967780 0 0 -56909
16777215 8404917 179 344528 0 10966570 0 0 -57495
16777215 8402157 179 364657 0 10965347 0 0 -58086
16777215 8408523 179 384786 0 10964113 0 0 -58672
16777215 8411649 179 404916 0 10962868 0 0 -59253
16777215 8398025 179 425044 0 10961610 0 0 -59839
12554674 8392799 179 445173 0 10960341 0 0 -60426
16777215 8407033 179 465303 0 10959060 0 0 -61007
16777215 8411473 179 485432 0 10957767 0 0 -61593
16777215 8397380 179 505561 0 10956462 0 0 -62184
12458262 8392256 179 525689 0 10955145 0 0 -62770
16777215 8405555 179 545818 0 10953817 0 0 -63356
16777215 8412683 179 565947 0 10952477 0 0 -63938
16777215 8400739 179 586076 0 10951125 0 0 -64524
13721483 8391332 179 606205 0 10949761 0 0 -65115
14046564 8399059 179 626333 0 10948386 0 0 -65697
16777215 8411484 179 646462 0 10946999 0 0 -66283
16777215 8410010 179 666593 0 10945599 0 0 -66874
16777215 8397197 179 686722 0 10944189 0 0 -67455
12443228 8391349 179 706851 0 10942766 0 0 -68041
14810946 8400183 179 726979 16 10941331 0 0 -68627
16777215 8411374 179 747107 16 10939891 0 0 -69184
16777215 8411549 179 767237 16 10938451 0 0 -69681
16777215 8400575 179 787366 16 10937011 0 0 -70118
14760864 8391903 179 807494 16 10935572 0 0 -70491
11725997 8393717 179 827625 16 10934132 0 0 -70813
16777215 8403937 179 847753 16 10932692 0 0 -71076
16777215 8412458 179 867885 16 10931252 0 0 -71275
16777215 8411486 179 888014 16 10929812 0 0 -71423
16777215 8402282 179 908142 16 10928372 0 0 -71508
16169520 8393052 179 928271 16 10926932 0 0 -71533
11432796 8391456 179 948399 16 10925492 0 0 -71533
14071279 8398631 179 968530 16 10924053 0 0 -71528
16777215 8409391 179 988658 16 10922613 0 0 -71528
16777215 8413372 180 8786 16 10921173 0 0 -71533
16777215 8410443 180 28918 16 10919733 0 0 -71533
16777215 8402939 180 49046 16 10918293 0 0 -71533
16777215 8394023 180 69174 16 10916853 0 0 -71534
11865132 8390671 180 89304 16 10915413 0 0 -71534
12066524 8395124 180 109430 16 10913973 0 0 -71535
16777215 8404512 180 129559 16 10912533 0 0 -71535
16777215 8411408 180 149688 16 10911094 0 0 -71529
16777215 8413200 180 169817 16 10909654 0 0 -71535
16777215 8408539 180 189945 16 10908214 0 0 -71535
16777215 8401554 180 210075 16 10906774 0 0 -71534
16284134 8393160 180 230204 16 10905334 0 0 -71535
11817761 8390699 180 250332 16 10903894 0 0 -71535
11541951 8393778 180 270462 16 10902454 0 0 -71534
15921976 8400691 180 290590 16 10901015 0 0 -71530
16777215 8408632 180 310721 16 10899575 0 0 -71528
16777215 8413297 180 330849 16 10898135 0 0 -71528
16777215 8412581 180 350977 16 10896695 0 0 -71534
16777215 8407041 180 371107 16 10895255 0 0 -71534
16777215 8398793 180 391236 16 10893815 0 0 -71533
15753633 8392965 180 411364 16 10892375 0 0 -71534
11562388 8390764 180 431494 16 10890935 0 0 -71534
11390692 8393348 180 451623 16 10889495 0 0 -71533
15643494 8400648 180 471750 16 10888055 0 0 -71534
16777215 8408144 180 491882 16 10886615 0 0 -71538
16777215 8412847 180 512011 16 10885176 0 0 -71534
16777215 8412623 180 532139 16 10883736 0 0 -71534
16777215 8407691 180 552268 16 10882295 0 0 -71538
16777215 8400060 180 572396 16 10880856 0 0 -71534
16260904 8393478 180 592525 16 10879416 0 0 -71534
12156199 8390796 180 612655 16 10877976 0 0 -71533
11103726 8392461 180 632783 16 10876536 0 0 -71534
13710007 8397344 180 652912 16 10875096 0 0 -71534
16777215 8404792 180 673045 16 10873656 0 0 -71532
16777215 8410649 180 693173 16 10872216 0 0 -71533
16777215 8413343 180 713303 16 10870777 0 0 -71533
16777215 8412223 180 733430 16 10869337 0 0 -71533
16777215 8407204 180 753559 16 10867897 0 0 -71528
16777215 8400295 180 773689 16 10866457 0 0 -71533
16720204 8393946 180 793818 16 10865017 0 0 -71533
12244264 8390735 180 813946 16 10863577 0 0 -71533
11258142 8392889 180 834076 16 10862137 0 0 -71533
14602498 8398899 180 854204 16 10860697 0 0 -71533
16777215 8407451 180 874332 16 10859257 0 0 -71534
16777215 8412077 180 894463 16 10857818 0 0 -71528
16777215 8413244 180 914591 16 10856378 0 0 -71535
16777215 8410090 180 934719 16 10854938 0 0 -71534
16777215 8403232 180 954847 16 10853498 0 0 -71535
16777215 8395202 180 974977 16 10852058 0 0 -71534
13382183 8391356 180 995105 16 10850618 0 0 -71535
10955287 8391323 181 15235 16 10849178 0 0 -71534
12812608 8396291 181 35364 16 10847739 0 0 -71529
16777215 8403623 181 55492 16 10846299 0 0 -71529
16777215 8410550 181 75622 16 10844859 0 0 -71529
16777215 8413256 181 95752 16 10843419 0 0 -71534
16777215 8411310 181 115880 16 10841979 0 0 -71534
16777215 8405329 181 136010 16 10840539 0 0 -71533
16777215 8397790 181 156138 16 10839099 0 0 -71533
14597890 8391947 181 176266 16 10837659 0 0 -71534
11404922 8390932 181 196395 16 10836219 0 0 -71534
11977204 8394751 181 216525 16 10834779 0 0 -71534
16469232 8401423 181 236654 16 10833340 0 0 -71534
16777215 8408594 181 256782 16 10831899 0 0 -71539
16777215 8413108 181 276914 16 10830459 0 0 -71538
16777215 8412267 181 297042 16 10829020 0 0 -71534
16777215 8406540 181 317170 16 10827580 0 0 -71534
16777215 8399417 181 337298 16 10826140 0 0 -71535
15810796 8393074 181 357428 16 10824700 0 0 -71534
11594422 8390664 181 377556 16 10823260 0 0 -71534
11386386 8393349 181 397685 16 10821820 0 0 -71534
15131615 8399478 181 417815 16 10820380 0 0 -71534
