ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
10202401 8441972 3289 97393 8 4688 0 0 -25650535
10201619 8441961 3289 117522 0 8800001 0 0 18042028
10200386 8441961 3289 137651 0 8800028 0 0 18042162
10199124 8441962 3289 157780 16 8800103 0 0 18042535
10198522 8441962 3289 177907 16 8800193 0 0 18042982
10203245 8441964 3289 198039 16 8800283 0 0 18043429
10202981 8441966 3289 218164 16 8800373 0 0 18043876
10198431 8441965 3289 238293 16 8800463 0 0 18044323
10199248 8441969 3289 258423 16 8800553 0 0 18044771
10203544 8441967 3289 278551 16 8800643 0 0 18045218
10206333 8441959 3289 298680 16 8800733 0 0 43696200
10207105 8441967 3289 318810 16 8800823 0 0 4084
10207209 8441972 3289 338939 16 8800913 0 0 4397
10207080 8441963 3289 359068 16 8801003 0 0 4471
10206964 8441959 3289 379196 16 8801093 0 0 4471
10206859 8441958 3289 399326 16 8801183 0 0 4471
10206869 8441959 3289 419456 16 8801273 0 0 4471
10206803 8441960 3289 439583 16 8801363 0 0 4471
10206903 8441952 3289 459712 16 8801453 0 0 4471
10206782 8441964 3289 479843 16 8801543 0 0 4471
10207053 8441961 3289 499970 16 8801633 0 0 4471
10207082 8441957 3289 520099 16 8801723 0 0 4471
10207008 8441965 3289 540228 16 8801813 0 0 4471
10207036 8441956 3289 560359 16 8801903 0 0 4471
10207182 8441961 3289 580486 16 8801993 0 0 4471
10207196 8441961 3289 600615 16 8802083 0 0 4471
10207178 8441954 3289 620746 16 8802173 0 0 4471
10207258 8441962 3289 640875 16 8802263 0 0 4471
10207303 8441962 3289 661004 16 8802353 0 0 4471
10207262 8441959 3289 681131 16 8802443 0 0 4471
10207208 8441962 3289 701262 16 8802533 0 0 4471
10207234 8441964 3289 721391 16 8802623 0 0 4471
10206947 8441968 3289 741518 16 8802713 0 0 4471
10207078 8441954 3289 761649 16 8802803 0 0 4471
10207059 8441974 3289 781779 16 8802893 0 0 4471
10207019 8441971 3289 801909 16 8802983 0 0 4471
10206938 8441957 3289 822037 16 8803073 0 0 4471
10206766 8441964 3289 842167 16 8803163 0 0 4471
10206485 8441961 3289 862294 16 8803253 0 0 4471
10206451 8441955 3289 882424 16 8803343 0 0 4471
10206146 8441972 3289 902553 16 8803433 0 0 4471
10206060 8441963 3289 922681 16 8803523 0 0 4471
10205889 8441959 3289 942811 16 8803613 0 0 4471
10205581 8441987 3289 962940 16 8803703 0 0 4471
10205461 8441962 3289 983068 16 8803793 0 0 4471
10205586 8441962 3290 3199 16 8803883 0 0 4471
10205302 8441981 3290 23324 16 8803973 0 0 4471
10205318 8441956 3290 43453 16 8804063 0 0 4471
10204958 8441961 3290 63583 16 8804152 0 0 4466
10204445 8441969 3290 83713 16 8804242 0 0 4466
10204081 8441949 3290 103840 16 8804332 0 0 4466
10203779 8441967 3290 123969 16 8804422 0 0 4466
10203438 8441968 3290 144099 16 8804512 0 0 4466
10203467 8441963 3290 164228 16 8804602 0 0 4466
10202960 8441975 3290 184356 16 8804692 0 0 4466
10202669 8441967 3290 204485 16 8804782 0 0 4466
10202725 8441957 3290 224615 16 8804872 0 0 4466
10202669 8441983 3290 244745 16 8804962 0 0 4466
10202416 8441965 3290 264872 16 8805052 0 0 4471
10202228 8441959 3290 285004 16 8805142 0 0 4471
10201528 8441968 3290 305131 16 8805232 0 0 4471
10201237 8441959 3290 325260 16 8805322 0 0 4471
10200890 8441955 3290 345389 16 8805412 0 0 4471
10200542 8441973 3290 365518 16 8805502 0 0 4471
10200435 8441957 3290 385648 16 8805592 0 0 4471
10200168 8441968 3290 405776 16 8805682 0 0 4471
10199628 8441980 3290 425905 16 8805772 0 0 4471
10199882 8441957 3290 446036 16 8805862 0 0 4471
10199839 8441968 3290 466163 16 8805952 0 0 4471
10199680 8441973 3290 486292 16 8806042 0 0 4471
10199562 8441962 3290 506421 16 8806132 0 0 4471
10199168 8441963 3290 526550 16 8806222 0 0 4471
10198639 8441964 3290 546679 16 8806312 0 0 4471
10198468 8441958 3290 566809 16 8806402 0 0 4471
10198273 8441965 3290 586938 16 8806492 0 0 4471
10198233 8441964 3290 607067 16 8806582 0 0 4471
10198205 8441958 3290 627197 16 8806672 0 0 4471
10197929 8441984 3290 647328 16 8806762 0 0 4471
10197813 8441966 3290 667454 16 8806852 0 0 4471
10197935 8441957 3290 687583 16 8806942 0 0 4471
10197753 8441986 3290 707713 16 8807032 0 0 4471
10197661 8441957 3290 727844 16 8807122 0 0 4471
10197604 8441961 3290 747970 16 8807212 0 0 4471
10197359 8441965 3290 768099 16 8807302 0 0 4471
10197251 8441955 3290 788228 16 8807392 0 0 4471
10197229 8441960 3290 808357 16 8807482 0 0 4471
10197117 8441971 3290 828485 16 8807572 0 0 4471
10197118 8441954 3290 848614 16 8807662 0 0 4471
10197074 8441977 3290 868744 16 8807752 0 0 4471
10197063 8441967 3290 888871 16 8807842 0 0 4471
10196958 8441953 3290 909002 16 8807932 0 0 4471
10197073 8441973 3290 929130 16 8808022 0 0 4471
10197131 8441970 3290 949259 16 8808112 0 0 4471
10197159 8441958 3290 969389 16 8808202 0 0 4471
10197187 8441967 3290 989516 16 8808292 0 0 4471
10197316 8441960 3291 9645 16 8808382 0 0 4471
10197332 8441960 3291 29775 16 8808472 0 0 4471
10197516 8441970 3291 49904 16 8808562 0 0 4471
10197479 8441957 3291 70036 16 8808652 0 0 4471
10197578 8441962 3291 90162 16 8808742 0 0 4471
10197801 8441984 3291 110292 16 8808832 0 0 4471
10197770 8441959 3291 130419 16 8808922 0 0 4471
10197747 8441963 3291 150549 16 8809012 0 0 4471
10197945 8441977 3291 170679 16 8809102 0 0 4471
10198024 8441955 3291 190806 16 8809192 0 0 4471
10198211 8441967 3291 210936 16 8809282 0 0 4471
10198604 8441966 3291 231065 16 8809372 0 0 4471
